@relation ForestFireNormalizado

@attribute BMean numeric
@attribute GMean numeric
@attribute RMean numeric
@attribute BDesEst numeric
@attribute GDesEst numeric
@attribute RDesEst numeric
@attribute Brillo numeric
@attribute Saturacion numeric
@attribute IsFire {H,N,I}

@data
0.427182388,0.311432491,0.426635138,0.274788747,0.164925001,0.125943137,0.353249004,0.425264196,H
0.519902185,0.400180513,0.519443517,0.355464987,0.132240236,0.141160436,0.314701184,0.518294484,H
0.590778402,0.497452724,0.590387446,0.488671733,0.22761024,0.281029838,0.192540047,0.590242622,H
0.62240442,0.538054334,0.622043678,0.525445854,0.194457168,0.226094646,0.161337522,0.621141255,H
0.77937829,0.724857761,0.779167516,0.736911951,0.253155129,0.223031696,0.091045325,0.783147753,H
0.784979844,0.730609277,0.784774421,0.713203716,0.257960294,0.341195824,0.1077184,0.784275244,N
0.602917595,0.5294953,0.602538237,0.49652859,0.394513131,0.49018851,0.219982914,0.601681379,N
0.518879332,0.450305948,0.518419686,0.422792505,0.387899865,0.459897681,0.228612498,0.517396433,N
0.333241652,0.231239697,0.332604655,0.197071187,0.121782843,0.107572582,0.401871698,0.331008882,H
0.431812083,0.307377818,0.431269256,0.239644483,0.183417166,0.165269512,0.448147773,0.429909395,H
0.500319356,0.37660882,0.499841978,0.334089199,0.17181183,0.151225823,0.330283176,0.498646078,H
0.437739887,0.346674352,0.437202723,0.328955084,0.144034063,0.13657919,0.247250918,0.435857049,H
0.529705493,0.437225232,0.529256191,0.424116276,0.193796804,0.26993899,0.216812961,0.528134455,H
0.534048561,0.457379739,0.533603408,0.452966933,0.219852316,0.315506487,0.186206239,0.533524421,H
0.489346276,0.425828866,0.488858416,0.423312953,0.275887087,0.395102207,0.202240655,0.494661816,H
0.477912418,0.414012896,0.477413634,0.396910578,0.21338823,0.293095281,0.1900642,0.476959337,H
0.40855602,0.284618532,0.407990975,0.265460678,0.176586905,0.278564951,0.413268004,0.411650964,H
0.417400532,0.295236952,0.416843937,0.271908091,0.161361335,0.296596108,0.412634,0.425170771,H
0.320861043,0.215421182,0.320212218,0.181313113,0.196902206,0.189296319,0.455031294,0.318586814,H
0.273391938,0.187898576,0.272697762,0.174040637,0.167689064,0.315102693,0.472772067,0.281686751,H
0.308216672,0.218717271,0.307555766,0.207732516,0.139613935,0.33343818,0.455104231,0.326885687,H
0.433939069,0.311076095,0.433398274,0.233411175,0.199995625,0.200335634,0.477196976,0.434544573,H
0.626829238,0.493682571,0.626472723,0.372786627,0.150504075,0.150280344,0.404430424,0.625579603,H
0.654544935,0.533997956,0.654214899,0.418286972,0.18461828,0.133890466,0.358125125,0.653388111,H
0.389496077,0.267597287,0.388912823,0.214168127,0.134880299,0.114887484,0.448250961,0.387451686,H
0.384488938,0.272228896,0.3839009,0.227669143,0.211589285,0.177428966,0.421559298,0.383856475,H
0.407721975,0.287594922,0.407156133,0.224253637,0.189969888,0.233875219,0.473160918,0.408277576,N
0.445981363,0.324367893,0.445452073,0.252073212,0.236159294,0.197288309,0.447117765,0.445435197,N
0.461289446,0.3318341,0.460774781,0.23629326,0.286396987,0.22992415,0.499319831,0.459485469,N
0.433027685,0.307070761,0.432486019,0.197821888,0.304736686,0.205103719,0.551539706,0.431129067,H
0.41012178,0.292124337,0.409558231,0.183809077,0.344782896,0.270535412,0.589255122,0.408146458,H
0.336431763,0.229423501,0.335797813,0.127117982,0.275412508,0.260340336,0.670265537,0.334209675,H
0.179457033,0.118094684,0.178673115,0.085543008,0.121887262,0.200339668,0.581005263,0.176709285,I
0.267419528,0.242544703,0.266719646,0.242312891,0.1386124,0.20259998,0.141770102,0.268114987,I
0.29403221,0.276709318,0.293357754,0.277631132,0.125876107,0.155472526,0.084412941,0.295361992,H
0.235784689,0.204806218,0.235054585,0.196958821,0.080048425,0.121038676,0.184140078,0.235450592,H
0.244037713,0.207314279,0.243315494,0.188975334,0.115649616,0.201415754,0.25086949,0.241661502,H
0.328030068,0.308204848,0.327388091,0.301670571,0.139641178,0.178807683,0.091754867,0.326716368,H
0.322230009,0.307712325,0.321582492,0.28757437,0.142624083,0.197560348,0.126075482,0.321963312,H
0.255016482,0.23472551,0.254304751,0.187801102,0.165506342,0.218916758,0.295525184,0.254952073,H
0.189110497,0.132543431,0.188335802,0.099431528,0.147406093,0.187710634,0.534704965,0.186395075,H
0.245046382,0.211364133,0.244325126,0.198102057,0.167107705,0.229514383,0.230550404,0.243014233,H
0.244100519,0.206023319,0.243378359,0.186697268,0.159268621,0.222746233,0.269107082,0.241852986,H
0.279186566,0.260303742,0.278497926,0.248966124,0.1299631,0.179758094,0.129553639,0.278744206,H
0.260415635,0.219053283,0.259709062,0.182113444,0.138849507,0.213132438,0.326619624,0.257944158,H
0.248502515,0.20747951,0.247784561,0.188731397,0.12625925,0.181642308,0.256528431,0.24598598,H
0.320536838,0.317258373,0.319887702,0.345862626,0.190927212,0.463267729,0.207613431,0.375994924,H
0.282281613,0.264821591,0.28159593,0.24175388,0.175378997,0.261839922,0.199218596,0.285210316,H
0.152231674,0.114606341,0.151421746,0.163525391,0.132344029,0.365465064,0.508035357,0.204064373,I
0.175926649,0.156328708,0.175139358,0.178174525,0.195598531,0.542679496,0.54872349,0.241029297,I
0.314962519,0.298228766,0.314308058,0.343477914,0.262180021,0.338445657,0.194265396,0.361397377,I
0.333484422,0.32492138,0.332847656,0.357067608,0.302827713,0.370725435,0.15822511,0.36934464,I
0.308327619,0.289679303,0.30766682,0.287540701,0.318031229,0.402774012,0.181223514,0.321907403,I
0.289198247,0.285922866,0.288519172,0.269691648,0.252409424,0.327302862,0.162671976,0.30180454,I
0.266356596,0.312644619,0.265655699,0.388669354,0.195325818,0.584579361,0.276811659,0.401340828,I
0.217434817,0.240961513,0.216687182,0.233017601,0.175877291,0.270181163,0.218648914,0.257908753,I
0.239985423,0.255649668,0.239259332,0.269525301,0.262394169,0.310793515,0.283028098,0.289855306,I
0.180823108,0.200443326,0.180040495,0.214315363,0.234546049,0.44138049,0.428265486,0.241699462,I
0.21956845,0.281319411,0.218822853,0.364964296,0.297128474,0.538688399,0.435891725,0.372470438,N
0.309897911,0.362343751,0.309238612,0.439284559,0.411231605,0.531153761,0.32294918,0.440964908,N
0.223401847,0.277583943,0.222659913,0.309035201,0.233043345,0.373766053,0.312671408,0.318326094,N
0.181934386,0.222948412,0.181152835,0.205210581,0.180998736,0.351112762,0.351161192,0.238740137,N
0.177662885,0.214557323,0.176877253,0.192445962,0.190737535,0.366735003,0.345236231,0.227864993,N
0.150731643,0.180368038,0.149920282,0.150268532,0.148577546,0.269125439,0.343489396,0.187664244,N
0.063157557,0.224096462,0.06226253,0.532704138,0.07514095,0.287638383,0.886080922,0.532704138,H
0.025145416,0.095166899,0.024214074,0.336216151,0.034407936,0.18949632,0.928441333,0.336216151,H
0.011522907,0.043675094,0.010578551,0.167010204,0.023574671,0.264894437,0.91661718,0.167010204,H
0.008037203,0.026626128,0.007089517,0.090771651,0.014172069,0.12985933,0.891565204,0.090771651,H
0.010709949,0.037748135,0.009764816,0.145342613,0.022048504,0.24758912,0.913212886,0.145342613,H
0.029055423,0.120789443,0.028127816,0.402325351,0.026053477,0.23508081,0.92506349,0.402325351,H
0.024479606,0.104022268,0.023547629,0.370164542,0.024995225,0.197964509,0.934168533,0.370164542,H
0.010961731,0.030489687,0.010016839,0.095066582,0.019171642,0.191964324,0.828420012,0.095066582,H
0.293821467,0.567884924,0.293146809,0.866108569,0.346301634,0.48917518,0.686883086,0.866108569,H
0.080513463,0.228449158,0.079635018,0.509564481,0.161187543,0.585482641,0.870329118,0.509564481,H
0.03878969,0.118263536,0.037871384,0.375008031,0.090525706,0.324735866,0.911539004,0.375008031,H
0.078764827,0.192889761,0.077884712,0.471194128,0.181362111,0.572676699,0.868323627,0.471194128,H
0.130209727,0.311364437,0.12937876,0.65789579,0.162679103,0.476387872,0.817782882,0.65789579,H
0.067999195,0.221284325,0.067108794,0.563376747,0.101837478,0.311178385,0.887529875,0.563376747,H
0.035324457,0.169332906,0.03440284,0.486649242,0.020359652,0.095259679,0.926811773,0.486649242,H
0.037257448,0.130415744,0.036337678,0.404653605,0.032442898,0.187273981,0.908363384,0.404653605,H
0.231552427,0.48031585,0.230818279,0.791947496,0.297576902,0.470529892,0.729503345,0.791947496,H
0.154743098,0.392711298,0.153935569,0.731695466,0.122086048,0.302588516,0.793592141,0.731695466,H
0.281986719,0.557274014,0.281300754,0.911067001,0.202048841,0.223314438,0.695671114,0.911067001,H
0.396353092,0.664092272,0.395776389,0.938145368,0.340054338,0.211323505,0.584690259,0.938195998,I
0.281127801,0.530544389,0.280441015,0.869508682,0.288884921,0.335398399,0.691447733,0.869508682,I
0.161275911,0.38260811,0.160474623,0.74062587,0.173807181,0.260765177,0.791480682,0.74062587,H
0.094801287,0.26016771,0.093936492,0.558121506,0.171234139,0.420234504,0.851355224,0.558121506,H
0.119275533,0.336672839,0.11843412,0.648318074,0.144876804,0.290256351,0.826168851,0.648318074,H
0.30911758,0.545483888,0.308457535,0.812286052,0.403368749,0.359889468,0.638392698,0.812427071,I
0.23543481,0.455233813,0.234704371,0.766799269,0.236902899,0.23999223,0.699761302,0.766825517,I
0.254905853,0.464524982,0.254194016,0.829929896,0.305190629,0.374430616,0.707886141,0.829933467,I
0.304087446,0.485310507,0.303422596,0.803592958,0.513912702,0.415129675,0.657751016,0.80370369,I
0.342569658,0.555322445,0.341941573,0.868572033,0.421733311,0.300032029,0.624106431,0.868650773,I
0.460195394,0.686790165,0.459679684,0.936478783,0.487284082,0.205099637,0.519268592,0.936884751,I
0.279028572,0.513543937,0.278339781,0.806202409,0.341652874,0.518925211,0.681807325,0.80620272,H
0.153897497,0.339216413,0.15308916,0.627754011,0.279542264,0.641387593,0.792185482,0.627754011,N
0.618481558,0.582750195,0.618117069,0.538044647,0.152697325,0.065020266,0.124738059,0.618032863,H
0.618418525,0.58118986,0.618053976,0.527645554,0.059586603,0.044041885,0.14379918,0.617140725,H
0.591028191,0.564532866,0.590637474,0.523520922,0.120539432,0.05378812,0.109081918,0.589987768,H
